Author,Content
0,он сильно пил потерял работу и знакомых и поселился в подвале вместе с ворами и проститутками проживая последние вещи у него было больное бескровное тело изношенное в работе изъеденное страданиями и водкой и смерть уже сторожила его как хищная серая птица слепая при солнечном свете и зоркая в черные ночи днем она пряталась в темных углах а ночью бесшумно усаживалась у его изголовья и сидела долго до самого рассвета и была спокойна терпелива и настойчива когда при первых проблесках дня он высовывал из под одеяла бледную голову с глазами травимого зверя в комнатке было уже пусто но он не верил этой обманчивой пустоте которой верят другие он подозрительно оглядывал углы с хитрой внезапностью бросал взгляд за спину и потом опершись на локти внимательно и долго смотрел перед собой в тающую тьму уходящей ночи и тогда он видел то чего никогда не видят другие колыхание серого огромного тела бесформенного и страшного оно было прозрачно охватывало все и предметы в нем были как за стеклянной стеной но теперь он не боялся его и оставляя холодный след оно уходило до следующей ночи на короткое время он забывался и сны приходили к нему страшные и необыкновенные он видел белую комнату с белым полом и стенами освещенную белым ярким светом и черную змею которая выползала из под двери с легким шуршанием похожим на смех прижав к полу острую плоскую голову и извиваясь она быстро выскальзывала куда то пропадала и опять в отверстии под дверью показывался ее приплюснутый черный нос и черной лентой вытягивалось тело и опять и опять раз он увидел во сне что то веселое и засмеялся но звук получился странный похожий на подавленное рыдание и было страшно его слушать где то в безвестной глубине смеется не то плачет душа в то время когда тело неподвижно как у мертвого постепенно в его сознание начинали входить звуки рождающегося дня глухой говор прохожих отдаленный скрип двери громыхание дворницкой метлы сметающей снег с подоконника весь неопределенный гул просыпающегося большого города и тогда наступало для него самое ужасное беспощадно светлое сознание что пришел новый день и скоро ему нужно вставать чтобы бороться за жизнь без надежды на победу нужно жить он поворачивался спиной к свету набрасывал на голову одеяло чтобы ни малейший луч не мог проникнуть в его глаза сжимался в маленький комок подтягивая ноги к самому подбородку и так лежал неподвижно боясь пошевелиться и протянуть ноги целой горой лежала на нем одежда которою он укрывался от подвальной стужи но он не чувствовал ее тяжести и тело его было холодно и при каждом звуке говорившем о жизни он казался себе огромным и открытым сжимался еще больше и беззвучно стонал не голосом и не мыслью так как теперь он боялся собственного голоса и собственных мыслей он молился кому то чтобы день не приходил и ему всегда можно было лежать под грудой тряпья не шевелясь и не мысля и напрягал всю волю чтобы удержать идущий день и уверить себя что ночь еще продолжается и больше всего в мире ему хотелось чтобы кто нибудь сзади приложил револьвер к затылку к тому месту где чувствуется углубление и выстрелил а день развертывался широкий неудержимый властно зовущий к жизни и весь мир начинал двигаться говорить работать и думать в подвале первой просыпалась хозяйка старуха матрена имевшая двадцатипятилетнего любовника и начинала топать по кухне стучать ведрами и возиться над чем то у самых дверей хижнякова он чувствовал ее приближение и замирал решаясь не отзываться если она его позовет но она молчала и куда то уходила а потом часа через два просыпались двое других жильцов гулящая девушка дуняша и любовник старухи абрам петрович так почтительно несмотря на молодость звали его все потому что он был смелый
0,когда поздней ночью он звонил у своих дверей первым звуком после колокольчика был звонкий собачий лай в котором слышались и боязнь чужого и радость что это идет свой потом доносилось шлепанье калош и скрип снимаемого крючка он входил и раздевался в темноте чувствуя недалеко от себя молчаливую женскую фигуру а колена его ласково царапали когти собаки и горячий язык лизал застывшую руку ну что спрашивал заспанный голос тоном официального участия ничего устал коротко отвечал владимир михайлович и шел в свою комнату за ним стуча когтями по вощеному полу шла собака и вспрыгивала на кровать когда свет зажженной лампы наполнял комнату взор владимира михайловича встречал упорный взгляд черных глаз собаки они говорили приди же приласкай меня и чтобы сделать это желание более понятным собака вытягивала передние лапы клала на них боком голову а зад ее потешно поднимался и хвост вертелся как ручка у шарманки друг ты мой единственный говорил владимир михайлович и гладил черную блестящую шерсть точно от полноты чувства собака опрокидывалась на спину скалила белые зубы и легонько ворчала радостная и возбужденная а он вздыхал ласкал ее и думал что нет больше на свете никого кто любил бы его если владимир михайлович возвращался рано и не уставал от работы он садился писать и тогда собака укладывалась комочком где нибудь на стуле возле него изредка открывала один черный глаз и спросонья виляла хвостом и когда взволнованный процессом творчества измученный муками своих героев задыхающийся от наплыва мыслей и образов он ходил по комнате и курил папиросу за папиросой она следила за ним беспокойным взглядом и сильнее виляла хвостом будем мы с тобой знамениты васюк спрашивал он собаку и та утвердительно махала хвостом будем тогда печенку есть ладно ладно отвечала собака и сладко потягивалась она любила печенку у владимира михайловича часто собирались гости тогда его тетка с которой он жил добывала у соседей посуду поила чаем ставя самовар за самоваром ходила покупать водку и колбасу и тяжело вздыхала доставая со дна кармана засаленный рубль в накуренной комнате звучали громкие голоса спорили смеялись говорили смешные и острые вещи жаловались на свою судьбу и завидовали друг другу советовали владимиру михайловичу бросить литературу и заняться другим более выгодным делом одни говорили что ему нужно лечиться другие чокались с ним рюмками и говорили о вреде водки для его здоровья он такой больной постоянно нервничающий оттого у него припадки тоски оттого он ищет в жизни невозможного все говорили с ним на ты и в голосе их звучало участье и они дружески звали его с собой ехать за город продолжать попойку и когда он веселый кричащий больше всех и беспричинно смеющийся уезжал его провожали две пары глаз серые глаза тетки сердитые и упрекающие и черные беспокойно ласковые глаза собаки он не помнил что он делал когда пил и когда к утру возвращался домой выпачканный в грязи и мелу и потерявший шляпу передавали ему что во время попойки он оскорблял друзей а дома обижал тетку которая плакала и говорила что не выдержит такой жизни и удавится и мучил собаку за то что она не идет к нему ласкаться когда же она испуганная и дрожащая скалила зубы то бил ее ремнем наступал следующий день все уже кончали свою дневную работу а он просыпался больной и страдающий сердце неровно колотилось в груди и замирало наполняя его страхом близкой смерти руки дрожали за стеной в кухне стучала тетка и звук ее шагов разносился по пустой и холодной квартире она не заговаривала с владимиром михайловичем и молча подавала ему воду суровая непрощающая и он молчал смотрел на потолок в одно давно им замеченное пятнышко и думал что он сжигает свою жизнь и никогда у него не будет ни славы ни счастья он сознавал себя
0,временами сашке хотелось перестать делать то что называется жизнью не умываться по утрам холодной водой в которой плавают тоненькие пластинки льда не ходить в гимназию не слушать там как все его ругают и не испытывать боли в пояснице и во всем теле когда мать ставит его на целый вечер на колени но так как ему было тринадцать лет и он не знал всех способов какими люди перестают жить когда захотят этого то он продолжал ходить в гимназию и стоять на коленках и ему казалось что жизнь никогда не кончится пройдет год и еще год и еще год а он будет ходить в гимназию и стоять дома на коленках и так как сашка обладал непокорной и смелой душой то он не мог спокойно отнестись ко злу и мстил жизни для этой цели он бил товарищей грубил начальству рвал учебники и целый день лгал то учителям то матери не лгал он только одному отцу когда в драке ему расшибали нос он нарочно расковыривал его еще больше и орал без слез но так громко что все испытывали неприятное ощущение морщились и затыкали уши проорав сколько нужно он сразу умолкал показывал язык и рисовал в черновой тетрадке карикатуру на себя как орет на надзирателя заткнувшего уши и на дрожащего от страха победителя вся тетрадка заполнена была карикатурами и чаще всех повторялась такая толстая и низенькая женщина била скалкой тонкого как спичка мальчика внизу крупными и неровными буквами чернела подпись проси прощенья щенок и ответ не попрошу хоть тресни перед рождеством сашку выгнали из гимназии и когда мать стала бить его он укусил ее за палец это дало ему свободу и он бросил умываться по утрам бегал целый день с ребятами и бил их и боялся одного голода так как мать перестала совсем кормить его и только отец прятал для него хлеб и картошку при этих условиях сашка находил существование возможным в пятницу накануне рождества сашка играл с ребятами пока они не разошлись по домам и не проскрипела ржавым морозным скрипом калитка за последним из них уже темнело и с поля куда выходил одним концом глухой переулок надвигалась серая снежная мгла в низеньком черном строении стоявшем поперек улицы на выезде зажегся красноватый немигающий огонек мороз усилился и когда сашка проходил в светлом круге который образовался от зажженного фонаря он видел медленно реявшие в воздухе маленькие сухие снежинки приходилось идти домой где полуночничаешь щенок крикнула на него мать замахнулась кулаком но не ударила рукава у нее были засучены обнажая белые толстые руки и на безбровом плоском лице выступали капли пота когда сашка проходил мимо нее он почувствовал знакомый запах водки мать почесала в голове толстым указательным пальцем с коротким и грязным ногтем и так как браниться было некогда только плюнула и крикнула статистики одно слово сашка презрительно шморгнул носом и прошел за перегородку где слышалось тяжелое дыханье отца ивана саввича ему всегда было холодно и он старался согреться сидя на раскаленной лежанке и подкладывая под себя руки ладонями книзу сашка а тебя свечниковы на елку звали горничная приходила прошептал он врешь спросил с недоверием сашка ей богу эга ведьма нарочно ничего не говорит а уж и куртку приготовила врешь все больше удивлялся сашка богачи свечниковы определившие его в гимназию не велели после его исключения показываться к ним отец еще раз побожился и сашка задумался ну ка подвинься расселся сказал он отцу прыгая на коротенькую лежанку и добавил а к этим чертям я не пойду жирны больно станут если еще я к ним пойду испорченный мальчик протянул сашка в нос сами хороши антипы толсторожие ах сашка сашка поежился от холода отец не сносить тебе головы а ты то сносил грубо возразил сашка молчал бы уж бабы боится
0,алексей степанович машинист при буковской мельнице среди ночи проснулся не то уже выспавшись так как накануне он завалился спать с восьми часов не то от ровного шума дождя по железной крыше от которого он отвык за семь зимних месяцев рамы в окнах уже были выставлены и звук приносился густой и отчетливый точно над железом крыши опрокинули мешок с горохом и сквозь этот шум едва пробивалось мягкое и задумчивое бульканье алексей степанович засветил огонь и накинув пальто выглянул наружу было так темно что в первую минуту он не мог рассмотреть ракиты которая стояла как раз у входа грохот дождя на крыше стал глуше но бульканье усиливалось и алексей степанович понял что капли дождя попадают в воду и удивился откуда она взялась у его домика стоявшего на бугорке постепенно тьма начала двигаться перед глазами и сбираться в черные пятна похожие на провалы в темно сером полотне вот темною полосою вытянулась ракита за нею черным пятном встал барак в котором находится потухший паровик дальше как туча с причудливыми краями расплывался четырехэтажный корпус мельницы одно окно под крышей слабо светилось и прямо под ним в самом низу смутно колебалось и двигалось на одном месте светлое пятно ого куда подошла подумал про воду алексей степанович с тем приятно жутким чувством с каким люди встречают проявление грозной силы природы набросив пальто на голову он обошел по ледяному еще не стаявшему пласту вокруг своего домика и заглянул за угол туда где находилась река а за нею на противоположном берегу раскидывались последние домишки стрелецкой слободы но теперь не видно было ничего точно мир кончался в двух шагах от алексея степановича а дальше был бездонный провал и там не слышалось ни звука и не виднелось ни огонька ни светлого пятна дождь шлепал где то вблизи а из черной пропасти подувало легким ветерком несло свежестью и тиной и неуловимым запахом льда воды и навоза алексею степановичу почудился крик он долго вслушивался и даже снял пальто с головы но только дождь нарушал зловещую тишину обнявшую реку очевидно он ошибся и снова то неприятное что не оставляло алексея степановича всю страстную неделю завозилось в его душе и отняло у ночи ее жуткую прелесть он обругал дождь скользкий ледяной пласт свою маленькую одинокую комнатку мельника никиту храпевшего в кухне и повалился на кровать опротивевшую за шесть дней непрерывного лежания от которого кости ломило больше чем от работы противно было все что в нем и что вокруг него шесть дней он не умывался и не причесывал волос никита всегда вносил на сапогах грязь в окна глядело серое тусклое небо и все это создавало ощущение чего то нечистого беспорядочного и такими же нечистыми казались и мысли вначале поста стрельцы избили его за ильманинскую дашу и он две недели пролежал в больнице и поссорился из за этого с управляющим а когда выписался и с револьвером в кармане прошелся по слободе даша отвернулась а проклятые ребята прыгали вокруг на одной ножке и пели баринок а баринок зачем корявую утку съел он грозно смотрел на встречных ожидая косого взгляда чтобы завязать драку но все потупляли глаза а за спиной чей то угрюмый голос пробурчал попрыгай попрыгай авось допрыгаешься разбойники эти стрельцы стоят за своих девок горой и никого со стороны не подпускают в третьем году у одного телеграфиста гитару на куски разломали а самого чуть струной не удавили и всем алексей степанович чужой мельники за спиной смеются и дразнят баринком настоящие господа сторонятся и никогда руки не подают и алексей степанович то винил людей и жалел себя то думал о своем характере гордом и неуступчивом и думал что все горе его жизни проистекает от него самого но было одинаково тяжело и то и другое и вызывало одинаковое чувство
0,уже четыре недели жил он в доме и четыре недели в доме царили страх и беспокойство все старались говорить и поступать так как они всегда поступали и говорили и не замечали того что речи их звучат глуше что глаза их смотрят виновато и тревожно и часто оборачиваются в ту сторону где находится отведенная ему комната в противоположном от нее конце дома они ступали ногами неестественно громко и так же неестественно громко смеялись но когда им случалось проходить мимо белых дверей которые весь день были заперты изнутри и так глухи точно за ними не было ничего живого они умеряли шаг а все тело их подавалось в сторону словно в ожидании удара и хотя проходившие становились на пол всей ногой но шаг их был более легок и более беззвучен чем если бы они шли на цыпочках и никто не называл его по имени а просто словом он и так как все каждую минуту думали о нем то это неопределенное название представлялось более ясным чем полное имя и никогда не заставляло переспрашивать почему то казалось непочтительным и фамильярным звать его как зовут других слово же он точно и резко выражало страх который внушала его высокая сумрачная фигура и только одна старая бабушка которая жила наверху звала его колей но и она испытывала напряженное состояние страха и ожидания беды охватившее весь дом и часто плакала однажды она спросила горничную катю почему барышня не играет сегодня на фортепьяно но катя удивленно взглянула на нее и не ответила а уходя покачала головой точно не одобряла самого вопроса пришел он в серый ноябрьский полдень когда все были дома и сидели за чаем кроме пети давно уже ушедшего в гимназию на дворе было холодно и низко нависшие плотные тучи сеяли дождь так что несмотря на большие окна в высоких комнатах было темно а в некоторых горел даже огонь звонок его был резкий и властный и сам александр антонович вздрогнул он подумал что явился кто нибудь из важных посетителей и медленно пошел навстречу сделав на своем полном и серьезном лице приветливо ласковую улыбку но она тотчас исчезла когда в полутьме прихожей он увидел бедно и грязно одетого человека перед которым в смущении стояла горничная робко загораживая ему путь вероятно с вокзала он шел пешком и только местами ехал на конке потому что коротенькое потертое пальто его было мокро а брюки внизу забрызганы и стояли коробом от воды и грязи и голос его был хриплый грубый не то от сырости и простуды не то от долгого молчания в тряском вагоне чего молчите дома спрашиваю вас александр антоныч барсуков повторил вошедший свой вопрос но отозвался александр антонович не входя в переднюю он вполоборота взглянул на человека которого счел за одного из бесчисленных просителей и строго сказал вам что здесь нужно не узнал отец насмешливо но с дрожью в голосе спросил вошедший а ведь я николай по отчеству александрыч какой николай отступил на шаг александр антонович но спрашивая он уже знал какой николай стоит перед ним важность исчезла с его лица и оно стало бледно страшной старческой бледностью похожей на смерть и руки поднялись к груди откуда внезапно вышел весь воздух следующим порывистым движением обе руки обняли николая и седая холеная борода прикоснулась к черной мокрой бородке и старческие отвыкшие целовать губы искали молодых свежих губ и с ненасытной жадностью впивались в них погоди отец дай раздеться мягко говорил николай простил простил дрожал всем телом александр антонович ну что за глупости сурово и строго сказал николай отстраняя отца какое еще там прощение когда они входили в столовую александру антоновичу было стыдно своего порыва которому с такой неудержимой силой отдалось его доброе сердце но радость от свидания хотя и отравленная бурлила в груди
0,было бы несправедливо сказать что природа обидела ивана акиндиныча бергамотова в своей официальной части именовавшегося городовой бляха а в неофициальной попросту баргамот обитатели одной из окраин губернского города орла в свою очередь по отношению к месту жительства называвшиеся пушкарями от названия пушкарной улицы а с духовной стороны характеризовавшиеся прозвищем пушкари проломленные головы давая ивану акипдиновичу это имя без сомнения не имели в виду свойств присущих столь нежному и деликатному плоду как бергамот по своей внешности баргамот скорее напоминал мастодонта или вообще одного из тех милых но погибших созданий которые за недостатком помещения давно уже покинули землю заполненную мозгляками людишками высокий толстый сильный громогласный баргамот составлял на полицейском горизонте видную фигуру и давно конечно достиг бы известных степеней если бы душа его сдавленная толстыми стенами не была погружена в богатырский сон внешние впечатления проходя в душу баргамота через его маленькие заплывшие глазки по дороге теряли всю свою остроту и силу и доходили до места назначения в виде слабых отзвуков и отблесков человек с возвышенными требованиями назвал бы его куском мяса околоточные надзиратели величали его дубиной хоть и исполнительной для пушкарей же наиболее заинтересованных в этом вопросе лиц он был степенным серьезным и солидным человеком достойным всякого почета и уважения то что знал баргамот он знал твердо пусть это была одна инструкция для городовых когда то с напряжением всего громадного тела усвоенная им но зато эта инструкция так глубоко засела в его неповоротливом мозгу что вытравить ее оттуда нельзя было даже крепкой водкой не менее прочную позицию занимали в его душе немногие истины добытые путем житейского опыта и безусловно господствовавшие над местностью чего не знал баргамот о том он молчал с такой несокрушимой солидностью что людям знающим становилось как будто немного совестно за свое знание а самое главное баргамот обладал непомерной силищей сила же на пушкарной улице была все населенная сапожниками пенькотрепальщиками кустарями портными и иных свободных профессий представителями обладая двумя кабаками воскресеньями и понедельниками все свои часы досуга пушкарная посвящала гомерической драке в которой принимали непосредственное участие жены растрепанные простоволосые растаскивающие мужей и маленькие ребятишки с восторгом взиравшие на отвагу тятек вся эта буйная волна пьяных пушкарей как о каменный оплот разбивалась о непоколебимого баргамота забиравшего методически в свои мощные длани пару наиболее отчаянных крикунов и самолично доставлявшего их за клин крикуны покорно вручали свою судьбу в руки баргамота протестуя лишь для порядка таков был баргамот в области международных отношений в сфере внутренней политики он держался с неменьшим достоинством маленькая покосившаяся хибарка в которой обитал баргамот с женой и двумя детишками и которая с трудом вмещала его грузное тело трясясь от дряхлости и страха за свое существование когда баргамот ворочался могла быть спокойна если не за свои деревянные устои то за устои семейного союза хозяйственный рачительный любивший в свободные дни копаться в огороде баргамот был строг путем того же физического воздействия он учил жену и детей не столько сообразуясь с их действительными потребностями в науке сколько с теми неясными на этот счет указаниями которые существовали где то в закоулке его большой головы это не мешало жене его марье еще моложавой и красивой женщине с одной стороны уважать мужа как человека степенного и непьющего а с другой вертеть им при всей его грузности с такой легкостью и силой на которую только и способны слабые женщины часу в десятом теплого весеннего вечера баргамот стоял на своем обычном посту на углу пушкарной и й посадской улиц настроение баргамота было скверное завтра светлое христово воскресение сейчас люди пойдут в церковь а ему стоять на дежурстве до трех часов ночи только к разговинам домой попадешь потребности молиться баргамот не ощущал но праздничное светлое настроение разлитое по необычайно тихой и спокойной улице коснулось и его ему не
0,валя сидел и читал книга была очень большая только наполовину меньше самого вали с очень черными и крупными строками и картинками во всю страницу чтобы видеть верхнюю строку валя должен был протягивать свою голову чуть ли не через весь стол подниматься на стуле на колени и пухлым коротеньким пальцем придерживать буквы которые очень легко терялись среди других похожих букв и найти их потом стоило большого труда благодаря этим побочным обстоятельствам не предусмотренным издателями чтение подвигалось с солидною медленностью несмотря на захватывающий интерес книги в ней рассказывалось как один очень сильный мальчик которого звали бовою схватывал других мальчиков за ноги и за руки и они от этого отрывались это было и страшно и смешно и потому в пыхтении вали которым сопровождалось его путешествие по книге слышалась нотка приятного страха и ожидания что дальше будет еще интереснее но вале неожиданно помешали читать вошла мама с какою то другою женщиной вот он сказала мама глаза у которой краснели от слез видимо недавних так как в руках она мяла белый кружевной платок валечка милый вскрикнула женщина и обняв его голову стала целовать лицо и глаза крепко прижимая к ним свои худые твердые губы она не так ласкала как мама у той поцелуи были мягкие тающие а эта точно присасывалась валя хмурясь молча принимал колючие ласки он был недоволен что прервали его интересное чтение и ему совсем не нравилась эта незнакомая женщина высокая с костлявыми пальцами на которых не было ни одного кольца и пахло от нее очень дурно какою то сыростью и гнилью тогда как от мамы всегда шел свежий запах духов наконец женщина оставила валю в покое и пока он вытирал губы осмотрела его тем быстрым взглядом который словно фотографирует человека его коротенький нос но уже с признаками будущей горбинки густые не детские брови над черными глазами и общий вид строгой серьезности что то напомнили ей и она заплакала и плакала она не так как мама лицо оставалось неподвижным и только слезы быстро быстро капали одна за другою не успевала скатиться одна как уже догоняла другая так же внезапно перестав плакать как и начала она спросила валечка ты не знаешь меня нет я приходила к тебе два раза приходила помнишь может быть она и приходила может быть и два раза приходила но откуда валя будет знать это да и не все ли равно приходила эта незнакомая женщина или нет она только мешает читать со своими вопросами я твоя мама валя сказала женщина валя с удивлением оглянулся на свою маму но ее в комнате уже не было разве две мамы бывают спросил он какие ты глупости говоришь женщина засмеялась но этот смех не понравился вале видно было что женщина совсем не хочет смеяться и делает это так нарочно чтобы обмануть некоторое время оба молчали ты уже умеешь читать вот умница валя молчал а какую ты книгу читаешь про бову королевича сообщил валя с серьезным достоинством и с очевидным чувством уважения к большой книге ах это должно быть очень интересно расскажи мне пожалуйста заискивающе улыбнулась женщина и снова что то неестественное фальшивое прозвучало в этом голосе который старался быть мягким и круглым как голос мамы но оставался колючим и острым та же фальшь сквозила и в движениях женщины она передвинулась на стуле и даже протянула вперед шею точно приготовилась к долгому и внимательному слушанию а когда валя неохотно приступил к рассказу она тотчас же ушла в себя и потемнела как потайной фонарь в котором внезапно задвинули крышку валя чувствовал обиду за себя и за бову но желая быть вежливым наскоро проговорил конец сказки и добавил все ну прощай мой голубчик мой дорогой сказала странная женщина и снова стала прижимать губы к валиному лицу скоро я
