Author,Content
0,лупленый бочок думаете все зайцы одинаковые все трусы нет зайцы тоже разные бывают спросите вот моего сынишку какого мы раз поймали скандалиста мы были на охоте в лесу втроём сынишка я и джим джим это собачка наша коротконожка уши до земли хвостик куцый замечательная охотничья собачка хоть и старенькая всякую дичь разыщет на крыло поднимет а подстреленную поймает схватит и осторожно не помяв ни перышка подаст прямо в руки необыкновенно умный и добрый у нас джим с другими собаками не дерётся никого никогда не кусает всем знакомым людям при встрече хвостиком часто часто машет и знаете так по собачьи приветливо улыбается на охоте мы были сухой осенью уже лист с деревьев падал а дождей больших ещё не было в это время охотиться в лесу всего трудней высохший лист гремит под ногами дичь тебя далеко слышит и видит сквозь поредевший кустарник и не допустив улетает вдруг слышу джим залаял залаял в кустах и вдруг замолк на кого это он думаю и приготовился стрелять но оттуда из кустов никто не вылетел а сынишка уже там и кричит мне из кустов папа папа беги скорей кого джим то в плен взял я к ним и вижу джим лежит врастяжку на земле а передними лапами зайчонка прижал к листьям держит его зайчонок верещит отчаянно джим хвостиком часто часто виляет а сынишка мой стоит над ними и не знает что ему делать я подошёл взял зайчонка у джима держу зайчонка двумя пальцами за шиворот он ещё пуще верещит лапками от меня отбивается сынишка говорит это он на тебя сердится кричит как ты смеешь меня такого маленького обижать и вправду похоже было что зайчонок что то эдакое кричал а джим на задние лапы встал передними мне в колени упёрся и лижет зайчонка успокаивает его что значит не бойся не таковские мы ничего плохого тебе не сделаем тут вдруг сынишка говорит смотри папа у него левый бочок лупленый смотрю на левом боку у зайчонка плешинка шерсть содрана голая кожа с пятак кружок эге говорю да ведь это мне знакомый зайчишка он у дяди серёжи сбежал полезай ка дружок в карман осторожно его под пузечко перехватил и сунул в свою охотничью куртку в спинной карман такой у меня карман есть в куртке во всю спину а по бокам пуговицы очень удобно в нём стреляную дичь носить и всякую всячину что бывает на охоте попадается зайчонку там темно тепло он и притих и сразу мы домой пошли по дороге мне пришлось конечно всё подробно рассказать сынишке откуда я этого зайчонка знаю и отчего у него бочок лупленый дядя серёжа приятель мой тоже охотник живёт на краю деревни у самого леса зайчонка он поймал недели три назад совсем ещё крошкой у себя в саду под кустом смородины этот зайчонок из листопадничков у зайчих первые зайчата родятся весной когда ещё снег корочкой наст и называются они н а с т о вичками а последние в году родятся осенью когда уже лист с деревьев начинает падать их охотники так и зовут листопадничками дядя серёжа очень этому зайчонку обрадовался вот почему у него у дяди серёжи не так давно ощенилась дворовая собака по кличке клеопарда щенят всех он ещё раньше знакомым своим обещал а как их у матери отнимешь и без того злющая клеопарда совсем с ума сойдёт на всех начнёт кидаться дядя серёжа и придумал зайчонка ей вместо щенят подложить чтобы не скучала не лютовала так и сделал щенята в ящике сидели он их оттуда взял когда матери не было а на их место зайчонка положил клеопарда пришла щенят нет а сидит в ящике малая зверюшка и её собачьим запахом пахнет в ящике то всё с её запахом она и не тронула
0,чьи это ноги летал жаворонок высоко над землёй под самыми облаками поглядит вниз сверху ему далеко видно и поёт я ношусь под облаками над полями и лугами вижу всех кто подо мной всех под солнцем и луной устал петь спустился и сел на кочку отдыхать вылезла из под дерева медянка и говорит ему сверху ты всё видишь это правда а вот снизу никого не узнаешь как это может быть удивился жаворонок непременно узнаю а вот иди ложись со мной рядом я тебе буду снизу всех показывать а ты отгадывай кто идёт ишь какая говорит жаворонок я к тебе пойду а ты меня ужалишь я змей боюсь вот и видно что ты ничего земного не знаешь сказала медянка первое я не змея а просто ящерица а второе змеи не жалят а кусают змей то и я боюсь зубы у них такие длинные и в зубах яд а у меня гляди ка малюсенькие зубки я ими не то что от змеи от тебя и то не отобьюсь а где же у тебя ноги если ты ящерица да зачем мне ноги если я по земле ползаю не хуже змеи ну если вправду ты безногая ящерица сказал жаворонок так мне бояться нечего соскочил с кочки лапки под себя поджал и лёг рядом с медянкой вот лежат они рядышком медянка и спрашивает ну ка ты верхогляд узнавай кто идёт и зачем он сюда пожаловал взглянул жаворонок перед собой и обмер идут по земле высоченные ноги через большие кочки как через малые комочки земли шагают пальцами в землю след вдавливают перешагнули ноги через жаворонка и пропали не видать больше медянка на жаворонка посмотрела и улыбнулась во весь рот облизнула сухие губы тонким язычком и говорит ну друг видно не разгадал ты моей загадки кабы ты знал кто через нас шагнул так не испугался бы я вот лежу и смекаю две ноги высоких пальцев на каждой счётом три больших один маленький и знаю уж птица идёт большая высокая по земле гулять любит хороши ходули для ходьбы так оно и есть журавль это прошёл тут жаворонок встрепенулся весь от радости журавль ему знакомый был спокойная птица добрая не обидит лежи не пляши зашипела на него медянка гляди опять ноги идут и верно ковыляют по земле голые ноги неизвестно чьи пальцы словно лоскутами клеёнки обшиты отгадывай говорит медянка жаворонок думал думал никак не может припомнить чтобы прежде такие ноги видел эх ты засмеялась медянка да ведь это совсем просто отгадать видишь пальцы широкие ноги плоские по земле идут спотыкаются вот в воде с ними удобно повернёшь ногу боком она воду как ножом режет растопыришь пальцы и весло готово это чомга нырец водяная такая птица из озера вылезла вдруг упал с дерева чёрный комок шерсти приподнялся с земли и пополз на локтях присмотрелся жаворонок а это вовсе не локти а сложенные крылья повернулся комок боком сзади у него цепкие звериные лапки и хвост а между хвостом и лапками кожа натянута вот чудеса сказал жаворонок кажется крылатая тварь как и я а на земле узнать её никак не могу ага обрадовалась медянка не можешь узнать хвастался что под луной всех знаешь а летучей то мыши и не узнал тут летучая мышь вскарабкалась на кочку расправила крылья и улетела к себе на дерево а уж из под земли другие ноги лезут страшные лапы короткие мохнатые на пальцах тупые когти жёсткие ладошки в разные стороны вывернуты затрепетал жаворонок а медянка говорит лежу гляжу и смекаю лапы в шерсти значит звериные короткие как обрубки и ладошками врозь а на толстых пальцах когтищи здоровые на таких ногах по земле шагать трудно а вот под землёй жить землю лапами рыть да назад её за собой отбрасывать
0,сказки зверолова люля прежде земли вовсе не было рассказывает хант зверолов только одно море было звери и птицы жили на воде и детей выводили на воде и это было очень неудобно вот раз собрались звери и птицы со всех концов моря устроили общее собрание председателем выбрали большого большого кита и стали думать как беде помочь долго спорили шумели наконец постановили достать со дна моря щепотку земли и сделать из неё большие острова и тогда на земле жить и детей выводить на земле хорошо придумали а как земли достать со дна не знают море то ведь глубокое не донырнёшь до дна стали звери и птицы рыб просить принесите нам рыбы щепотку земли со дна а вам зачем спрашивают рыбы острова делать нет говорят рыбы не дадим вам земли острова делать нам без островов лучше жить плыви куда хочешь стали звери и птицы кита просить ты из нас самый сильный и большой зверь ты председатель наш понатужься нырни на дно собрание просит нельзя отказываться набрал кит воздуху ударил хвостом по воде нырнул пошли по морю волны закачались на них звери и птицы ждут пождут нет кита только большие пузыри из воды выскакивают да с треском лопаются и волны улеглись вдруг забурлила вода всколыхнулось море выкинуло кита высоко в воздух упал кит назад в воду выпустил из ноздрей две струи нет говорит не достать мне до дна очень уж я толстый не пускает меня вода загрустили звери и птицы уж если кит не может достать кто же достанет собрались все в круг молчат горюют вдруг выплывает в середину круга востроносенькая птица давайте говорит я попробую может быть я донырну до дна посмотрели звери и птицы да ведь это люля нырец ростом с малую уточку на головке рожки из перьев торчат зашумели рассердились звери и птицы ты люля смеёшься над нами кита великана море как щепку выкинуло а уж тебя то слабенькую разом расплющит а может быть и ничего говорит люля попробую и как сидела на воде так и ушла под воду только голову опустила и нет люли даже ряби на волнах не осталось ждут пождут звери и птицы нет люли и море спокойно только белые пузырики из воды выскакивают и лопаются без шума вдруг на том месте где люля нырнула опять она сидит а когда вынырнула никто и не заметил сидит дышит тяжело зашумели засмеялись звери и птицы где тебе люля до дна достать маленькая ты слабенькая ты а с китом тягаться хочешь а люля молчит отдышалась отдохнула опять под воду ушла ждут пождут звери и птицы смотрят на воду нет люли и море спокойно только розовые пузырьки из воды выскакивают лопаются без шума вдруг на том месте где люля нырнула опять она сидит а когда вынырнула никто и не заметил сидит тяжело дышит и глаза у неё розовые стали и на клюве розовый от крови пузырик зашумели звери и птицы жалко им стало маленькую люлю довольно говорят ты для нас постаралась отдыхай теперь всё равно не достать земли со дна моря а люля молчит отдышалась отдохнула опять под воду ушла ждут пождут звери и птицы смотрят на воду нет люли и море спокойно только красные пузырики из воды выскакивают лопаются без шума зашептали звери и птицы красные пузырики пошли это кровь люлина раздавило море люлю не видать нам больше люли вдруг видят глубоко в воде под тем местом где люля сидела что то тёмное мелькает приближается ближе ближе и всплыла наверх люля ножками кверху подхватили её звери и птицы перевернули посадили на воду ножками вниз и видят сидит люля еле дышит глаза у неё красной кровью налились на клюве красный кровяной пузырик а в клюве щепотка земли со дна морского обрадовались звери
0,прятки косой санька прятки или по нашему по новгородски сказать хоронушки игра не одним людям всему свету известная лесом идёшь много глаз на тебя глядит за каждым шагом твоим следят а ты и не видишь кто с тобой в прятки играет не дале как прошлой осенью один случай был у нас в колхозе вечером затеяли пятеро наших ребятишек ваня маня таня паня и саня игру у сенного сарая им бы спать пора ложиться сумерки уж начинаются ребятишки то все мелкие долго ли до беды как водится у нас стали в круг каждый свои два кулачка перед собой выставил сосчитались шла кукушка мимо сети а за нею злые дети и кричали ку ку мяк убирай один кулак на кого мяк выпадет тот один кулачок убирает потом по второму разу считаются по третьему пока у последнего один кулачок не останется этому значит водить водить выпало ване ваня взял палочку выручалочку стал носом к стенке сарая локтем глаза себе закрыл стоит выкрикивает раз два три четыре пять я иду искать раз два три четыре пять шесть семь я иду совсем раз два три четыре десять я иду на целый месяц когда всё до конца выкрикнул палочку к стене приставил и поскорей обернулся ребятишки давно успели схорониться кто куда никого нет только глядь будто чьи то босые ноги брык брык под сарай лезут под дальний угол и пропали там вижу вижу закричал ваня и бегом к тому углу а в это время из за другого угла сарая таня с паней а из под куста маня и к палочке выручалочке стук стук стук и все трое дома ну да ваня на них только рукой махнул пускай одного то он приметил уж этот от него не уйдёт добежал до угла вылазь кричит в дыру под сараем вылазь санька вижу сам конечно ничего не видит потому что под сараем яма а в яме темно да ведь чьи то ноги под сарай лезли лезли чьи же как не санькины девчонки уже все дома а тут сам санька выскакивает в стороне из канавки и бегом к палочке выручалочке надо бы и ване скорей к ней чтобы первому постучать да он растерялся как же так ведь санька под сараем сидит и ваня ещё раз крикнул в дыру вылазь санька всё равно вылазь девчонки так со смеху и покатились а саня уж у палочки стук стук стук и кричит вот он я води ка в другой раз тут ваня опомнился а от угла не идёт ребята говорит тут что то не так тут с нами ещё кто то в хоронушки играет вот сюда залез я своими глазами видел ребятишки к нему он стоит белый как берёза глаза большие и шепчет вот тут вот тут сидит я ноги видел лезет ногами брыкается ребятишкам стало не по себе сумерки гуще лес рукой подать и стоит тёмный страшный в лесу волки медведи и как знать кто ещё неизвестно кто под сарай забрался сидит там санька боевой парнишка как крикнет толстым голосом кто там в яме объявись а под сараем как шебуршнёт таня паня маня как взвизгнут как припустят бежать хорошо на меня набежали как раз я из лесу шёл с охоты еле их остановил рассказали мне как всё было вижу дело серьёзное пошёл к сараю девчонки за мной издали саня с ваней стоят у угла в руках уже колья у них хотят в яму толкать обождите говорю погляжу раньше поставил я ружьё к стенке опустился на четвереньки чиркнул спичку батюшки светы кто под сараем то сидит я руку туда и цоп его за уши уж как он ни брыкался так за уши и вытащил его ребятишкам видали кого струсили заяц здоровый русачина вот глупый
0,кукушонок кукушка сидела на берёзе среди рощи вокруг неё то и дело мелькали крылья птицы хлопотливо сновали между деревьями высматривали уютные уголки таскали пёрышки мох траву скоро должны были появиться на свет маленькие птенчики птицы заботились о них они спешили вили строили лепили а у кукушки была своя забота она ведь не умеет ни гнёзд вить ни птенцов воспитывать она сидела и думала вот посижу здесь и погляжу на птиц кто лучше всех себе гнездо выстроит той и подкину своё яйцо и кукушка следила за птицами спрятавшись в густой листве птицы не замечали её трясогузка конёк и пеночка выстроили себе гнёзда на земле они так хорошо спрятали их в траве что даже в двух шагах нельзя было заметить гнезда кукушка подумала эти гнёзда ловко спрятаны да вдруг придёт корова нечаянно наступит на гнездо и раздавит моего птенца не подкину своего яйца ни трясогузке ни коньку ни пеночке и стала высматривать новые гнёзда соловей и славка свили гнёзда в кустах кукушке понравились их гнёзда да тут прилетела вороватая сойка с голубыми перьями на крыльях все птицы кинулись к ней и старались прогнать её от своих гнёзд кукушка подумала сойка всякое гнездо разыщет даже гнёзда соловья и славки и утащит моего птенчика куда же мне подбросить своё яйцо тут на глаза кукушке попалась маленькая мухоловка пеструшка она вылетела из дупла старой липы и полетела помогать птицам прогонять сойку вот отличное гнездо для моего птенца подумала кукушка в дупле его корова не раздавит и сойка не достанет подкину своё яйцо пеструшке пока пеструшка гонялась за сойкой кукушка слетела с берёзы и снесла яйцо прямо на землю потом схватила его в клюв подлетела к липе просунула голову в дупло и осторожно опустила яйцо в пеструшкино гнездо кукушка была очень рада что пристроила наконец своего птенца в надёжное место вот какая я ловкая думала она улетая не всякая кукушка догадается подкинуть своё яйцо пеструшке в дупло птицы прогнали сойку из рощи и пеструшка вернулась в своё дупло она и не заметила что в гнезде прибавилось одно лишнее яйцо новое яйцо было почти такое же маленькое как любое из её четырех яиц ей надо бы пересчитать их но маленькая пеструшка не умела считать даже до трёх она спокойно уселась высиживать птенцов высиживать пришлось долго целые две недели но пеструшка не скучала она любила сидеть в своём дупле дупло было не широкое не глубокое но очень уютное пеструшке больше всего нравилось что вход в него был совсем узенький она сама с трудом в него пролезала зато она была спокойна что никто не заберётся в её гнездо когда она будет улетать за кормом для своих птенцов когда пеструшке хотелось есть она звала своего мужа пестрого мухолова мухолов прилетал и садился на её место он терпеливо дожидался пока пеструшка досыта наестся бабочек комаров и мух а когда она возвращалась он взлетал на ветку как раз против дупла и весело распевал тц крути крути крути крути при этом он быстро крутил своим прямым чёрным хвостом и потряхивал пёстрыми крылышками коротенькая была у него песня но пеструшка слушала её всегда с удовольствием наконец пеструшка почувствовала будто кто то шевелится под ней это был первый птенчик полый слепой он барахтался среди скорлупок яйца пеструшка сейчас же унесла скорлупки из гнезда скоро появились на свет ещё три птенчика теперь пеструшке и мухолову прибавилось хлопот надо было кормить четырёх птенчиков и высиживать пятое яйцо так прошло несколько дней четыре птенчика подросли и покрылись пушком тут только вышел из яйца пятый птенец у него была очень толстая голова большущий рот покрытые кожицей глаза навыкате и весь он был какой то жилистый нескладный мухолов сказал не нравится мне что то этот уродец давай выкинем его из
1,в пять часов утра как всегда пробило подъем молотком об рельс у штабного барака перерывистый звон слабо прошел сквозь стекла намерзшие в два пальца и скоро затих холодно было и надзирателю неохота была долго рукой махать звон утих а за окном все так же как и среди ночи когда шухов вставал к параше была тьма и тьма да попадало в окно три желтых фонаря два на зоне один внутри лагеря и барака что то не шли отпирать и не слыхать было чтобы дневальные брали бочку парашную на палки выносить шухов никогда не просыпал подъема всегда вставал по нему до развода было часа полтора времени своего не казенного и кто знает лагерную жизнь всегда может подработать шить кому нибудь из старой подкладки чехол на рукавички богатому бригаднику подать сухие валенки прямо на койку чтоб ему босиком не топтаться вкруг кучи не выбирать или пробежать по каптеркам где кому надо услужить подмести или поднести что нибудь или идти в столовую собирать миски со столов и сносить их горками в посудомойку тоже накормят но там охотников много отбою нет а главное если в миске что осталось не удержишься начнешь миски лизать а шухову крепко запомнились слова его первого бригадира куз мина старый был лагерный волк сидел к девятьсот сорок третьему году уже двенадцать лет и своему пополнению привезенному с фронта как то на голой просеке у костра сказал здесь ребята закон тайга но люди и здесь живут в лагере вот кто подыхает кто миски лижет кто на санчасть надеется да кто к куму ходит стучать насчет кума это конечно он загнул те то себя сберегают только береженье их на чужой крови всегда шухов по подъему вставал а сегодня не встал еще с вечера ему было не по себе не то знобило не то ломало и ночью не угрелся сквозь сон чудилось то вроде совсем заболел то отходил маленько все не хотелось чтобы утро но утро пришло своим чередом да и где тут угреешься на окне наледи наметано и на стенах вдоль стыка с потолком по всему бараку здоровый барак паутинка белая иней шухов не вставал он лежал на верху вагонки с головой накрывшись одеялом и бушлатом а в телогрейку в один подвернутый рукав сунув обе ступни вместе он не видел но по звукам все понимал что делалось в бараке и в их бригадном углу вот тяжело ступая по коридору дневальные понесли одну из восьмиведерных параш считается инвалид легкая работа а ну ка поди вынеси не пролья вот в й бригаде хлопнули об пол связку валенок из сушилки а вот и в нашей и наша была сегодня очередь валенки сушить бригадир и помбригадир обуваются молча а вагонка их скрипит помбригадир сейчас в хлеборезку пойдет а бригадир в штабной барак к нарядчикам да не просто к нарядчикам как каждый день ходит шухов вспомнил сегодня судьба решается хотят их ю бригаду фугануть со строительства мастерских на новый объект соцбытгородок а соцбытгородок тот поле голое в увалах снежных и прежде чем что там делать надо ямы копать столбы ставить и колючую проволоку от себя самих натягивать чтоб не убежать а потом строить там верное дело месяц погреться негде будет ни конурки и костра не разведешь чем топить вкалывай на совесть одно спасение бригадир озабочен уладить идет какую нибудь другую бригаду нерасторопную заместо себя туда толкануть конечно с пустыми руками не договоришься полкило сала старшему нарядчику понести а то и килограмм испыток не убыток не попробовать ли в санчасти косануть от работы на денек освободиться ну прямо все тело разнимает и еще кто из надзирателей сегодня дежурит дежурит вспомнил полтора ивана худой да долгий сержант черноокий первый раз глянешь прямо страшно а узнали его из всех дежурняков покладистей
1,на сто восемьдесят четвёртом километре от москвы по ветке что идёт к мурому и казани ещё с добрых полгода после того все поезда замедляли свой ход почти как бы до ощупи пассажиры льнули к стёклам выходили в тамбур чинят пути что ли из графика вышел нет пройдя переезд поезд опять набирал скорость пассажиры усаживались только машинисты знали и помнили отчего это всё да я летом года из пыльной горячей пустыни я возвращался наугад просто в россию ни в одной точке её никто меня не ждал и не звал потому что я задержался с возвратом годиков на десять мне просто хотелось в среднюю полосу без жары с лиственным рокотом леса мне хотелось затесаться и затеряться в самой нутряной россии если такая где то была жила за год до того по сю сторону уральского хребта я мог наняться разве таскать носилки даже электриком на порядочное строительство меня бы не взяли а меня тянуло учительствовать говорили мне знающие люди что нечего и на билет тратиться впустую проезжу но что то начинало уже страгиваться когда я поднялся по лестнице владимирского облоно и спросил где отдел кадров то с удивлением увидел что кадры уже не сидели здесь за чёрной кожаной дверью а за остеклённой перегородкой как в аптеке всё же я подошёл к окошечку робко поклонился и попросил скажите не нужны ли вам математики где нибудь подальше от железной дороги я хочу поселиться там навсегда каждую букву в моих документах перещупали походили из комнаты в комнату и куда то звонили тоже и для них редкость была все ведь просятся в город да покрупней и вдруг таки дали мне местечко высокое поле от одного названия веселела душа название не лгало на взгорке между ложков а потом других взгорков цельно обомкнутое лесом с прудом и плотинкой высокое поле было тем самым местом где не обидно бы и жить и умереть там я долго сидел в рощице на пне и думал что от души бы хотел не нуждаться каждый день завтракать и обедать только бы остаться здесь и ночами слушать как ветви шуршат по крыше когда ниоткуда не слышно радио и всё в мире молчит увы там не пекли хлеба там не торговали ничем съестным вся деревня волокла снедь мешками из областного города я вернулся в отдел кадров и взмолился перед окошечком сперва и разговаривать со мной не хотели потом всё ж походили из комнаты в комнату позвонили поскрипели и отпечатали мне в приказе торфопродукт торфопродукт ах тургенев не знал что можно по русски составить такое на станции торфопродукт состарившемся временном серо деревянном бараке висела строгая надпись на поезд садиться только со стороны вокзала гвоздём по доскам было доцарапано и без билетов а у кассы с тем же меланхолическим остроумием было навсегда вырезано ножом билетов нет точный смысл этих добавлений я оценил позже в торфопродукт легко было приехать но не уехать а и на этом месте стояли прежде и перестояли революцию дремучие непрохожие леса потом их вырубили торфоразработчики и соседний колхоз председатель его горшков свёл под корень изрядно гектаров леса и выгодно сбыл в одесскую область на том свой колхоз возвысив а себе получив героя социалистического труда меж торфяными низинами беспорядочно разбросался посёлок однообразные худо штукатуренные бараки тридцатых годов и с резьбой по фасаду с остеклёнными верандами домики пятидесятых но внутри этих домиков нельзя было увидеть перегородки доходящей до потолка так что не снять мне было комнаты с четырьмя настоящими стенами над посёлком дымила фабричная труба туда и сюда сквозь посёлок проложена была узкоколейка и паровозики тоже густо дымящие пронзительно свистя таскали по ней поезда с бурым торфом торфяными плитами и брикетами без ошибки я мог предположить что вечером над дверьми клуба будет надрываться радиола а по улице
1,кружевные стрелки показывали пять минут пятого в замирающем декабрьском дне бронза часов на этажерке была совсем тёмной стёкла высокого окна начинались от самого пола через них открывалось внизу на кузнецком торопливое снование улицы и упорная передвижка дворников сгребавших только что выпавший но уже отяжелевший коричнево грязный снег из под ног пешеходов видя всё это и не видя этого всего государственный советник второго ранга иннокентий володин прислонясь к ребру оконного уступа высвистывал что то тонкое долгое концами пальцев он перекидывал пёстрые глянцевые листы иностранного журнала но не замечал что в нём государственный советник второго ранга что значило подполковник дипломатической службы высокий узкий не в мундире а в костюме скользящей ткани володин казался скорее состоятельным молодым бездельником чем ответственным служащим министерства иностранных дел пора была или зажечь в кабинете свет но он не зажигал или ехать домой но он не двигался пятый час означал конец не служебного дня но его дневной меньшей части теперь все поедут домой пообедать поспать а с десяти вечера снова засветятся тысячи и тысячи окон сорока пяти общесоюзных и двадцати республиканских министерств одному единственному человеку за дюжиной крепостных стен не спится по ночам и он приучил всю чиновную москву бодрствовать с ним до трёх и до четырёх часов ночи зная ночные повадки владыки все шесть десятков министров как школьники бдят в ожидании вызова чтоб не клонило в сон они вызывают заместителей заместители дёргают столоначальников справкодатели на лесенках облазывают картотеки делопроизводители мчатся по коридорам стенографистки ломают карандаши и даже сегодня в канун западного рождества все посольства уже два дня как стихли не звонят в их министерстве всё равно будет ночное сиденье а у тех пойдут теперь на две недели каникулы доверчивые младенцы ослы длинноухие нервные пальцы молодого человека быстро и бессмысленно перелистывали журнал а внутри страшок то поднимался и горячил то опускался и становилось холодновато иннокентий швырнул журнал и ёжась прошёлся по комнате позвонить или не позвонить сейчас обязательно или не поздно будет там в четверг в пятницу поздно так мало времени обдумать и совершенно не с кем посоветоваться неужели есть средства дознаться кто звонил из автомата если говорить только по русски если не задерживаться быстро уйти неужели узнают по телефонному сдавленному голосу не может быть такой техники через три четыре дня он полетит туда сам логичнее подождать разумнее подождать но будет поздно о чёрт ознобом повело его плечи не привычные к тяжестям уж лучше б он не узнал не знал не узнал он сгрёб всё со стола и понёс в несгораемый шкаф волнение расходилось сильней и сильней иннокентий опустил лоб на рыжее окрашенное железо шкафа и отдохнул с закрытыми глазами и вдруг как будто упуская последние мгновения не позвонив за машиной в гараж не закрыв чернильницы иннокентий метнулся запер дверь отдал ключ в конце коридора дежурному почти бегом сбежал с лестницы обгоняя постоянных здешних в золотом шитье и позументах едва натянул внизу пальто насадил шляпу и выбежал в сыроватый сморкающийся день от быстрых движений полегчало французские полуботинки по моде без галош окунались в грязно тающий снег полузамкнутым двориком министерства пройдя мимо памятника воровскому иннокентий поднял глаза и вздрогнул новый смысл представился ему в новом здании большой лубянки выходящем на фуркасовский эта серо чёрная девятиэтажная туша была линкор и восемнадцать пилястров как восемнадцать орудийных башен высились по правому его борту и одинокий утлый челночёк иннокентия так и тянуло туда под нос тяжёлого быстрого корабля нет не тянуло челноком это он сам шёл на линкор торпедой но невозможно было выдержать он увернулся вправо по кузнецкому от тротуара собиралось отъехать такси иннокентий захватил погнал его вниз там велел налево под первозажжённые фонари петровки он ещё колебался откуда звонить чтоб не торопили не стояли над душой не заглядывали в дверь но искать
