,Author Name,Author,Content
0,Андреев,0," ﻿I

Он сильно пил, потерял работу и знакомых и поселился в подвале вместе с ворами и проститутками, проживая последние вещи. У него было больное, бескровное тело, изношенное в работе, изъеденное страданиями и водкой, и смерть уже сторожила его, как хищная серая птица, слепая при солнечном свете и зоркая в черные ночи. Днем она пряталась в темных углах, а ночью бесшумно усаживалась у его изголовья и сидела долго, до самого рассвета, и была спокойна, терпелива и настойчива. Когда при первых проблесках дня он высовывал из-под одеяла бледную голову с глазами травимого зверя, в комнатке было уже пусто, — но он не верил этой обманчивой пустоте, которой верят другие. Он подозрительно оглядывал углы, с хитрой внезапностью бросал взгляд за спину и потом, опершись на локти, внимательно и долго смотрел перед собой в тающую тьму уходящей ночи. И тогда он видел то, чего никогда не видят другие: колыхание серого огромного тела, бесформенного и страшного. Оно было прозрачно, охватывало все, и предметы в нем были как за стеклянной стеной. Но теперь он не боялся его, и, оставляя холодный след, оно уходило — до следующей ночи. На короткое время он забывался, и сны приходили к нему страшные и необыкновенные. Он видел белую комнату, с белым полом и стенами, освещенную белым ярким светом, и черную змею, которая выползала из-под двери с легким шуршанием, похожим на смех. Прижав к полу острую, плоскую голову и извиваясь, она быстро выскальзывала, куда-то пропадала, и опять в отверстии под дверью показывался ее приплюснутый черный нос, и черной лентой вытягивалось тело, — и опять и опять. Раз он увидел во сне что-то веселое и засмеялся, но звук получился странный, похожий на подавленное рыдание, и было страшно его слушать: где-то в безвестной глубине смеется, не то плачет душа, в то время когда тело неподвижно, как у мертвого. Постепенно в его сознание начинали входить звуки рождающегося дня: глухой говор прохожих, отдаленный скрип двери, громыхание дворницкой метлы, сметающей снег с подоконника, — весь неопределенный гул просыпающегося большого города. И тогда наступало для него самое ужасное: беспощадно светлое сознание, что пришел новый день и скоро ему нужно вставать, чтобы бороться за жизнь без надежды на победу. Нужно жить. Он поворачивался спиной к свету, набрасывал на голову одеяло, чтобы ни малейший луч не мог проникнуть в его глаза, сжимался в маленький комок, подтягивая ноги к самому подбородку, и так лежал неподвижно, боясь пошевелиться и протянуть ноги. Целой горой лежала на нем одежда, которою он укрывался от подвальной стужи, но он не чувствовал ее тяжести, и тело его было холодно. И при каждом звуке, говорившем о жизни, он казался себе огромным и открытым, сжимался еще больше и беззвучно стонал — не голосом и не мыслью, так как теперь он боялся собственного голоса и собственных мыслей. Он молился кому-то, чтобы день не приходил и ему всегда можно было лежать под грудой тряпья, не шевелясь и не мысля, и напрягал всю волю, чтобы удержать идущий день и уверить себя, что ночь еще продолжается, И больше всего в мире ему хотелось, чтобы кто-нибудь сзади приложил револьвер к затылку, к тому месту, где чувствуется углубление, и выстрелил. А день развертывался — широкий, неудержимый, властно зовущий к жизни, и весь мир начинал двигаться, говорить, работать и думать. В подвале первой просыпалась хозяйка, старуха Матрена, имевшая двадцатипятилетнего любовника, и начинала топать по кухне, стучать ведрами и возиться над чем-то у самых дверей Хижнякова. Он чувствовал ее приближение и замирал, решаясь не отзываться, если она его позовет. Но она молчала и куда-то уходила, а потом часа через два просыпались двое других жильцов: гулящая девушка Дуняша и любовник старухи, Абрам Петрович. Так почтительно, несмотря на молодость, звали его все, потому что он был смелый и искусный вор и еще что-то, о чем только подозревали, но не решались говорить. Их пробуждения больше всего страшился Хижняков, так как оба они имели на него право, могли войти, сесть на кровать, трогать его руками и вызывать его на мысли и разговоры. С Дуняшей он как-то сошелся, пьяный, и обещал на ней жениться, и хотя она смеялась и хлопала его по плечу, но искренно считала его влюбленным в себя и покровительствовала, а сама была глупая, грязная, дурно пахнущая и часто ночевала в участке. А с Абрамом Петровичем он только третьего дня вместе пьянствовал, целовался и давал клятвы в вечной дружбе. Когда раздался свежий и громкий голос Абрама Петровича и его быстрые шаги мимо двери, Хижняков застыл от страха и ожидания, простонал, не сдержавшись, вслух и еще более испугался. В одной яркой картине перед ним пронеслось его пьянство, как они сидели в каком-то темном трактире, освещенном одной лампой, среди темных, шепчущихся почему-то людей, и тоже шептались. Абрам Петрович, бледный и возбужденный, жаловался на трудную жизнь вора, зачем-то обнажал руку и давал щупать неправильно сросшиеся кости, а Хижняков целовал его и говорил:

— Я люблю воров. Они смелые, — и предлагал ему выпить на брудершафт, хотя они давно говорили на ты. — А я люблю тебя, что ты образованный и понимаешь нашего брата, — отвечал Абрам Петрович. — Гляди-ка, рука-то: она вот! И опять перед его глазами протягивалась белая рука, казавшаяся жалкой от своей белизны, и в внезапном понимании чего-то, чего он теперь не помнил и не понимал, он целовал эту руку, а Абрам Петрович горделиво кричал:

— Верно, брат! Помрем, а не сдадимся! А потом что-то грязное, кружащееся, вой, свист и прыгающие огни. И тогда это было весело, а теперь, когда в углах пряталась смерть и отовсюду надвигался день с необходимостью жить, и действовать, и за что-то бороться, о чем-то просить, — было мучительно и непередаваемо ужасно. — Барин, спишь? — насмешливо спросил за дверью Абрам Петрович и, не получив ответа, добавил: — Ну спи, черт с тобой. К Абраму Петровичу приходит много знакомых, и в течение целого дня визжит дверь и раздаются басистые голоса. И Хижнякову при каждом стуке кажется, что это пришли к нему и за ним, и он прячется все глубже и долго прислушивается, пока поймет, кому принадлежит голос. Он ждет, ждет мучительно, с содроганием всего тела, хотя нет во всем мире никого, кто пришел бы к нему и за ним. У него была жена когда-то, давно, и умерла. Еще дальше в прошлом у него были братья и сестры, а еще дальше — нечто смутное и красивое, что он называл матерью. И все они умерли, а может быть, кто-нибудь и жив, но так затерян в бесконечном мире, как будто бы умер. И он скоро умрет, — он это знает. Когда он встанет сегодня с своего ложа, у него будут подламываться и трястись ноги, а руки будут делать неверные, странные движения, — и это смерть. Но, пока она придет, нужно жить, и это такая грозная задача для человека, у которого нет денег, здоровья и воли, что Хижнякова охватывает отчаяние. Он сбрасывает с себя одеяло, заламывает руки и бросает в пространство такие долгие стоны, как будто сквозь тысячи страдающих грудей прошли они и оттого стали такими полными, до краев налитыми нестерпимой мукой. — Отопри, черт! — кричит за дверью Дуняша и колотит в дверь кулаком. — А то ведь дверь сломаю! Трясясь и качаясь, Хижняков подошел к двери, открыл ее и быстро, почти падая, снова улегся в постель. Дуняша, уже завитая и напудренная, села рядом с ним, притиснув его к стене, положила ногу на ногу и важно сказала:

— А я тебе новость принесла. Катя вчера Богу душу отдала. — Какая Катя? — спросил Хижняков. И язык у него ворочался тяжело и неверно, как чужой. — Ну вот, забыл, — засмеялась Дуняша. — Такая Катя, которая у нас жила. Как же ты забыл, когда она всего неделю ушла. — Умерла? — Ну да, умерла, как все помирают. Дуняша послюнявила короткий палец и отерла пудру с редких ресниц. — От чего? — От того, от чего все помирают. Кто же ее знает, от чего. Мне вчера в кофейной сказали. Умерла, говорят, Катя. — А ты ее любила? — Конечно, любила. О чем спрашивает! Глупые глаза Дуняши смотрели на Хижнякова с тупым равнодушием, и толстая нога покачивалась. Она не знала, о чем ей больше говорить, и старалась смотреть на лежащего так, чтобы показать ему свою любовь, и для этого слегка прищурила один глаз и опустила углы толстых губ. День начался. II

В этот день, в субботу, мороз был такой сильный, что гимназисты не ходили учиться и конские бега были перенесены на другой день, так как представлялась опасность простудить лошадей. Когда Наталья Владимировна вышла из родильного приюта, она в первую минуту была рада, что уже вечер, что на набережной никого нет и никто не встретит ее, девушку, с шестидневным ребенком на руках."
1,Андреев,0," ﻿Когда поздней ночью он звонил у своих дверей, первым звуком после колокольчика был звонкий собачий лай, в котором слышались и боязнь чужого и радость, что это идет свой. Потом доносилось шлепанье калош и скрип снимаемого крючка. Он входил и раздевался в темноте, чувствуя недалеко от себя молчаливую женскую фигуру. А колена его ласково царапали когти собаки, и горячий язык лизал застывшую руку. — Ну, что? — спрашивал заспанный голос тоном официального участия. — Ничего. Устал, — коротко отвечал Владимир Михайлович и шел в свою комнату. За ним, стуча когтями по вощеному полу, шла собака и вспрыгивала на кровать. Когда свет зажженной лампы наполнял комнату, взор Владимира Михайловича встречал упорный взгляд черных глаз собаки. Они говорили: приди же, приласкай меня. И, чтобы сделать это желание более понятным, собака вытягивала передние лапы, клала на них боком голову, а зад ее потешно поднимался, и хвост вертелся, как ручка у шарманки. — Друг ты мой единственный! — говорил Владимир Михайлович и гладил черную блестящую шерсть. Точно от полноты чувства, собака опрокидывалась на спину, скалила белые зубы и легонько ворчала, радостная и возбужденная. А он вздыхал, ласкал ее и думал, что нет больше на свете никого, кто любил бы его. Если Владимир Михайлович возвращался рано и не уставал от работы, он садился писать, и тогда собака укладывалась комочком где-нибудь на стуле возле него, изредка открывала один черный глаз и спросонья виляла хвостом. И когда, взволнованный процессом творчества, измученный муками своих героев, задыхающийся от наплыва мыслей и образов, он ходил по комнате и курил папиросу за папиросой, она следила за ним беспокойным взглядом и сильнее виляла хвостом. — Будем мы с тобой знамениты, Васюк? — спрашивал он собаку, и та утвердительно махала хвостом. — Будем тогда печенку есть, ладно? «Ладно», — отвечала собака и сладко потягивалась: она любила печенку. У Владимира Михайловича часто собирались гости. Тогда его тетка, с которой он жил, добывала у соседей посуду, поила чаем, ставя самовар за самоваром, ходила покупать водку и колбасу и тяжело вздыхала, доставая со дна кармана засаленный рубль. В накуренной комнате звучали громкие голоса. Спорили, смеялись, говорили смешные и острые вещи, жаловались на свою судьбу и завидовали друг другу; советовали Владимиру Михайловичу бросить литературу и заняться другим, более выгодным делом. Одни говорили, что ему нужно лечиться, другие чокались с ним рюмками и говорили о вреде водки для его здоровья. Он такой больной, постоянно нервничающий. Оттого у него припадки тоски, оттого он ищет в жизни невозможного. Все говорили с ним на «ты», и в голосе их звучало участье, и они дружески звали его с собой ехать за город продолжать попойку. И когда он, веселый, кричащий больше всех и беспричинно смеющийся, уезжал, его провожали две пары глаз: серые глаза тетки, сердитые и упрекающие, и черные, беспокойно ласковые глаза собаки. Он не помнил, что он делал, когда пил и когда к утру возвращался домой, выпачканный в грязи и мелу и потерявший шляпу. Передавали ему, что во время попойки он оскорблял друзей, а дома обижал тетку, которая плакала и говорила, что не выдержит такой жизни и удавится, и мучил собаку за то, что она не идет к нему ласкаться. Когда же она, испуганная и дрожащая, скалила зубы, то бил ее ремнем. Наступал следующий день; все уже кончали свою дневную работу, а он просыпался, больной и страдающий. Сердце неровно колотилось в груди и замирало, наполняя его страхом близкой смерти, руки дрожали. За стеной, в кухне, стучала тетка, и звук ее шагов разносился по пустой и холодной квартире. Она не заговаривала с Владимиром Михайловичем и молча подавала ему воду, суровая, непрощающая. И он молчал, смотрел на потолок в одно давно им замеченное пятнышко и думал, что он сжигает свою жизнь, и никогда у него не будет ни славы, ни счастья. Он сознавал себя ничтожным, и слабым, и одиноким до ужаса. Бесконечный мир кишел движущимися людьми, и не было ни одного человека, который пришел бы к нему и разделил его муки, безумно-горделивые помыслы о славе и убийственное сознание ничтожества. Дрожащей, ошибающейся рукой он хватался за холодный лоб и сжимал веки, но, как ни крепко он их сжимал, слеза просачивалась и скользила по щеке, еще сохранившей запах продажных поцелуев. А когда он опускал руку, она падала на другой лоб, шерстистый и гладкий, и затуманенный слезой взгляд встречал черные, ласковые глаза собаки, и ухо ловило ее тихие вздохи. И он шептал, тронутый, утешенный:

— Друг, друг мой единственный!.. Когда он выздоравливал, к нему приходили друзья и мягко упрекали его, давали советы и говорили о вреде водки. А те из друзей, кого он оскорбил пьяный, переставали кланяться ему. Они понимали, что он не хотел им зла, но они не желали натыкаться на неприятность. Так, в борьбе с самим собой, неизвестностью и одиночеством, протекали угарные, чадные ночи и строго карающие светлые дни. И часто в пустой квартире гулко отдавались шаги тетки, и на кровати слышался шепот, похожий на вздох:

— Друг, друг мой единственный!.. И наконец она пришла, эта неуловимая слава, пришла, нежданная-негаданная, и наполнила светом и жизнью пустую квартиру. Шаги тетки тонули в топоте дружеских ног, призрак одиночества исчез, и замолк тихий шепот. Исчезла и водка, этот зловещий спутник одиноких, и Владимир Михайлович более не оскорблял ни тетки, ни друзей. Радовалась и собака. Еще звончее стал ее лай при поздних встречах, когда он, ее единственный друг, приходил добрый, веселый, смеющийся, и она сама научилась смеяться; верхняя губа ее приподнималась, обнажая белые зубы, и потешными складками морщился нос. Веселая, шаловливая, она начинала играть, хватала его вещи и делала вид, что хочет унести их, а когда он протягивал руки, чтобы поймать ее, подпускала его на шаг и снова убегала, и черные глаза ее искрились лукавством. Иногда он показывал собаке на тетку и кричал: «куси», и собака с притворным гневом набрасывалась на нее, тормошила ее юбку и, задыхаясь, косилась черным лукавым глазом на друга. Тонкие губы тетки кривились в суровую улыбку, она гладила заигравшуюся собаку по блестящей голове и говорила:

— Умная собака, только вот супу не любит. А по ночам, когда Владимир Михайлович работал и только дребезжание стекол от уличной езды нарушало тишину, собака чутко дремала возле него и пробуждалась при малейшем его движении. — Что, брат, печенки хочешь? — спрашивал он. — Хочу, — утвердительно вилял хвостом Васюк. — Ну, погоди, куплю. Что, хочешь, чтобы приласкал? Некогда, брат, некогда. Спи. Каждую ночь спрашивал он собаку о печенке, но постоянно забывал купить ее, так как голова его была полна планами новых творений и мыслями о женщине, которую он полюбил. Раз только вспомнил он о печенке; это было вечером, и он проходил мимо мясной лавки, а под руку с ним шла красивая женщина и плотно прижимала свой локоть к его локтю. Он шутливо рассказал ей о своей собаке, хвалил ее ум и понятливость. Немного рисуясь, он передал о том, что были ужасные, тяжелые минуты, когда он считал собаку единственным своим другом, и, шутя, рассказал о своем обещании купить другу печенки, когда будет счастлив… Он плотнее прижал к себе руку девушки. — Художник! — смеясь, воскликнула она. — Вы даже камни заставите говорить; а я очень не люблю собак: от них так легко заразиться. Владимир Михайлович согласился, что от собаки легко можно заразиться, и промолчал о том, что он иногда целовал блестящую черную морду. Однажды днем Васюк играл больше обыкновенного, а вечером, когда Владимир Михайлович пришел домой, не явился встречать его, и тетка сказала, что собака больна. Владимир Михайлович встревожился и пошел в кухню, где на тоненькой подстилке лежала собака. Нос ее был сухой и горячий, и глаза помутнели. Она пошевелила хвостом и печально посмотрела на друга. — Что, мальчик, болен? Бедный ты мой! Хвост слабо шевельнулся, и черные глаза стали влажными. — Ну, лежи, лежи. «Надо бы к ветеринару отвезти, а мне завтра некогда. Ну, да так пройдет», — думал Владимир Михайлович и забыл о собаке, мечтая о том счастье, какое может дать ему красивая девушка. Весь следующий день его не было дома, а когда он вернулся, рука его долго шарила, ища звонка, а найдя, долго недоумевала, что делать с этой деревяшкой. — Ах да, нужно же позвонить, — засмеялся он и запел: — отворите! Одиноко звякнул колокольчик, зашлепали калоши, и скрипнул снимаемый крючок. Напевая, Владимир Михайлович прошел в комнату, долго ходил, прежде чем догадался, что ему нужно зажечь лампу, потом разделся, но еще долго держал в руках снятый сапог и смотрел на него так, как будто это была красивая девушка, которая сегодня сказала так просто и сердечно: да, я люблю вас. И, улегшись, он все продолжал видеть ее живое лицо, пока рядом с ним не встала черная, блестящая морда собаки, и острой болью кольнул в сердце вопрос: а где же Васюк?"
2,Андреев,0," ﻿Временами Сашке хотелось перестать делать то, что называется жизнью: не умываться по утрам холодной водой, в которой плавают тоненькие пластинки льда, не ходить в гимназию, не слушать там, как все его ругают, и не испытывать боли в пояснице и во всем теле, когда мать ставит его на целый вечер на колени. Но так как ему было тринадцать лет и он не знал всех способов, какими люди перестают жить, когда захотят этого, то он продолжал ходить в гимназию и стоять на коленках, и ему казалось, что жизнь никогда не кончится. Пройдет год, и еще год, и еще год, а он будет ходить в гимназию и стоять дома на коленках. И так как Сашка обладал непокорной и смелой душой, то он не мог спокойно отнестись ко злу и мстил жизни. Для этой цели он бил товарищей, грубил начальству, рвал учебники и целый день лгал то учителям, то матери, не лгал он только одному отцу. Когда в драке ему расшибали нос, он нарочно расковыривал его еще больше и орал без слез, но так громко, что все испытывали неприятное ощущение, морщились и затыкали уши. Проорав сколько нужно, он сразу умолкал, показывал язык и рисовал в черновой тетрадке карикатуру на себя, как орет, на надзирателя, заткнувшего уши, и на дрожащего от страха победителя. Вся тетрадка заполнена была карикатурами, и чаще всех повторялась такая: толстая и низенькая женщина била скалкой тонкого, как спичка, мальчика, Внизу крупными и неровными буквами чернела подпись: ""Проси прощенья, щенок"", - и ответ:

""Не попрошу, хоть тресни"". Перед рождеством Сашку выгнали из гимназии, и когда мать стала бить его, он укусил ее за палец. Это дало ему свободу, и он бросил умываться по утрам, бегал целый день с ребятами и бил их, и боялся одного голода, так как мать перестала совсем кормить его, и только отец прятал для него хлеб и картошку. При этих условиях Сашка находил существование возможным. В пятницу, накануне рождества, Сашка играл с ребятами, пока они не разошлись по домам и не проскрипела ржавым, морозным скрипом калитка за последним из них. Уже темнело, и с поля, куда выходил одним концом глухой переулок, надвигалась серая снежная мгла; в низеньком черном строении, стоявшем поперек улицы, на выезде, зажегся красноватый, немигающий огонек. Мороз усилился, и когда Сашка проходил В светлом круге, который образовался от зажженного фонаря, он видел медленно реявшие в воздухе маленькие сухие снежинки. Приходилось идти домой. - Где полуночничаешь, щенок? - крикнула на него мать, замахнулась кулаком, но не ударила. Рукава у нее были засучены, обнажая белые, толстые руки, и на безбровом, плоском лице выступали капли пота. Когда Сашка проходил мимо нее, он почувствовал знакомый запах водки. Мать почесала в голове толстым указательным пальцем с коротким и грязным ногтем и, так как браниться было некогда, только плюнула и крикнула:

- Статистики, одно слово! Сашка презрительно шморгнул носом и прошел за перегородку, где слышалось тяжелое дыханье отца, Ивана Саввича. Ему всегда было холодно, и он старался согреться, сидя на раскаленной лежанке и подкладывая под себя руки ладонями книзу. Сашка! А тебя Свечниковы на елку звали. Горничная приходила, - прошептал он. - Врешь? - спросил с недоверием Сашка. - Ей-богу. Эга ведьма нарочно ничего не говорит, а уж и куртку приготовила. - Врешь? - все больше удивлялся Сашка. Богачи Свечниковы, определившие его в гимназию, не велели после его исключения показываться к ним. Отец еще раз побожился, и Сашка задумался. - Ну-ка подвинься, расселся! - сказал он отцу, прыгая на коротенькую лежанку, и добавил: - А к этим чертям я не пойду. Жирны больно станут, если еще я к ним пойду. ""Испорченный мальчик"", - протянул Сашка в нос. - Сами хороши, антипы толсторожие. - Ах, Сашка, Сашка! - поежился от холода отец. - Не сносить тебе головы. - А ты-то сносил? - грубо возразил Сашка, - Молчал бы уж: бабы боится. Эх, тюря! Отец сидел молча и ежился. Слабый свет проникал через широкую щель вверху, где перегородка на четверть не доходила до потолка, и светлым пятном ложился на его высокий лоб, под которым чернели глубокие глазные впадины. Когда-то Иван Саввич сильно пил водку, и тогда жена боялась и ненавидела его. Но когда он начал харкать кровью и не мог больше пить, стала пить она, постепенно привыкая к водке. И тогда она выместила все, что ей пришлось выстрадать от высокого узкогрудого человека, который говорил непонятные слова, выгонялся за строптивость и пьянство со службы и наводил к себе таких же длинноволосых безобразников и гордецов, как и он сам. В противоположность мужу она здоровела по мере того, как пила, и кулаки ее все тяжелели. Теперь она говорила, что хотела, теперь она водила к себе мужчин и женщин, каких хотела, и громко пела с ними веселые песни. А он лежал за перегородкой, молчаливый, съежившийся от постоянного озноба, и думал о несправедливости и ужасе человеческой жизни. И всем, с кем ни приходилось говорить жене Ивана Саввича, она жаловалась, что нет у нее на свете таких врагов, как муж и сын: оба гордецы и статистики. Через час мать говорила Сашке:

- А я тебе говорю, что ты пойдешь! - И при каждом слове Феоктиста Петровна ударяла кулаком по столу, на котором вымытые стаканы прыгали и звякали друг о друга. - А я тебе говорю, что не пойду, - хладнокровно отвечал Сашка, и углы губ его подергивались от желания оскалить зубы. В гимназии за эту привычку его звали волчонком. - Изобью я тебя, ох как изобью! - кричала мать,

- Что же, избей! Феоктиста Петровна знала, что бить сына, который стал кусаться, она уже не может, а если выгнать на улицу, то он отправится шататься и скорей замерзнет, чем пойдет к Свечниковым; поэтому она прибегла к авторитету мужа. - А еще отец называется: не может мать от оскорблений оберечь. - Правда, Сашка, ступай, что ломаешься? - отозвался тот с лежанки. - Они, может быть, опять тебя устроят. Они люди добрые. Сашка оскорбительно усмехнулся. Отец давно, до Сашкина еще рождения, был учителем у Свечниковых и с тех пор думал, что они самые хорошие люди. Тогда он еще служил в земской статистике и ничего не пил. Разошелся он с ними после того, как женился на забеременевшей от него дочери квартирной хозяйки, стал пить и опустился до такой степени, что его пьяного поднимали на улице и отвозили в участок. Но Свечниковы продолжали помогать ему деньгами, и Феоктиста Петровна, хотя ненавидела их, как книги и все, что связывалось с прошлым ее мужа, дорожила знакомством и хвалилась им. - Может быть, и мне что-нибудь с елки принесешь, - продолжал отец. Он хитрил, - Сашка понимал это и презирал отца за слабость и ложь, но ему действительно захотелось что-нибудь принести больному и жалкому человеку. Он давно уже сидит без хорошего табаку. - Ну, ладно! - буркнул он. -Давай, что ли, куртку. Пуговицы пришила? А то ведь я тебя знаю! Детей еще не пускали в залу, где находилась елка, и они сидели в детской и болтали. Сашка с презрительным высокомерием прислушивался к их наивным речам и ощупывал в кармане брюк уже переломавшиеся папиросы, которые удалось ему стащить из кабинета хозяина. Тут подошел к нему самый маленький Свечников, Коля, и остановился неподвижно и с видом изумления, составив ноги носками внутрь и положив палец на угол пухлых губ. Месяцев шесть тому назад он бросил, по настоянию родственников, скверную привычку класть палец в рот, но совершенно отказаться от этого жеста еще не мог. У него были белые волосы, подрезанные на лбу и завитками спадавшие на плечи, и голубые удивленные глаза, и по всему своему виду он принадлежал к мальчикам, которых особенно преследовал Салха. - Ты неблагодарный мальчик? - спросил он Сашку, - Мне мисс сказала. А я холосой. - Уж на что же лучше! - ответил тот, осматривая коротенькие бархатные штанишки и большой отхладной воротничок. - Хочешь лузье? На! - протянул мальчик ружье с привязанной к нему пробкой. Волчонок взвел пружину и, прицелившись в нос ничего не подозревавшего Коли, дернул собачку. Пробка ударилась по носу и отскочила, болтаясь на нитке. Голубые глаза Коли раскрылись еще шире, и в них показались слезы. Передвинув палец от губ к покрасневшему носику, Коля часто заморгал длинными ресницами и зашептал:

- Злой... Злой мальчик. В детскую вошла молодая, красивая женщина с гладко зачесанными волосами, скрывавшими часть ушей. Это была сестра хозяйки, та самая, с которой занимался когда-то Сашкин отец. - Вот этот, - сказала она, показывая на Сашку сопровождавшему ее лысому господину. - Поклонись же, Саша, нехорошо быть таким невежливым. Но Сашка не поклонился ни ей, ни лысому господину. Красивая дама не подозревала, что он знает многое. Знает, что жалкий отец его любил ее, а она вышла за другого, и хотя это случилось после того как он женился сам, Сашка не мог простить измены. - Дурная кровь, - вздохнула Софья Дмитриевна. - Вот не можете ли,

Платон Михайлович, устроить его? Муж говорит, что ремесленное ему больше подходит, чем гимназия. Саша, хочешь в ремесленное? - Не хочу, - коротко ответил Сашка, слышавший слово ""муж""."
